Name,Team,Age,PA,OBP,SLG,OPS,wOBA,ISO,BB%,K%,HR,RBI,SB,Def,WAR,All_Star,Year
Jason Michaels,CLE,31,295,0.324,0.397,0.721,0.317,0.127,0.068,0.16899999999999998,7,39,3,7.0,1.4,0,2007
Joey Gathright,KCR,26,261,0.371,0.342,0.713,0.327,0.035,0.077,0.138,0,19,9,7.0,1.4,0,2007
Yadier Molina,STL,24,396,0.34,0.368,0.708,0.313,0.093,0.086,0.109,6,40,1,15.1,1.4,0,2007
Rafael Furcal,LAD,29,643,0.333,0.355,0.687,0.308,0.084,0.086,0.106,6,47,25,6.0,1.4,0,2007
Scott Hairston,- - -,27,294,0.313,0.452,0.765,0.332,0.209,0.08800000000000001,0.187,11,36,2,6.9,1.3,0,2007
Gary Matthews Jr.,LAA,32,579,0.323,0.419,0.742,0.321,0.167,0.095,0.17600000000000002,18,72,18,-8.5,1.3,0,2007
Corey Patterson,BAL,27,503,0.304,0.386,0.69,0.302,0.117,0.042,0.129,8,45,37,2.7,1.3,0,2007
Tony Pena,KCR,26,536,0.284,0.356,0.64,0.28,0.088,0.019,0.146,2,47,5,21.9,1.3,0,2007
Manny Ramirez,BOS,35,569,0.388,0.493,0.881,0.376,0.197,0.125,0.162,20,88,0,-19.8,1.2,0,2007
Edwin Encarnacion,CIN,24,560,0.356,0.438,0.794,0.349,0.149,0.07,0.154,16,76,8,-12.7,1.2,0,2007
Geoff Jenkins,MIL,32,464,0.319,0.471,0.79,0.333,0.217,0.069,0.25,21,64,2,1.1,1.2,0,2007
Kurt Suzuki,OAK,23,248,0.327,0.408,0.735,0.323,0.16,0.09699999999999999,0.157,7,39,0,4.4,1.2,0,2007
Conor Jackson,ARI,25,477,0.368,0.467,0.836,0.365,0.183,0.111,0.105,15,60,2,-11.4,1.1,0,2007
Josh Bard,SDP,29,443,0.364,0.404,0.768,0.337,0.118,0.113,0.131,5,51,0,-1.2,1.1,0,2007
Kevin Mench,MIL,29,308,0.305,0.441,0.746,0.319,0.174,0.052000000000000005,0.068,8,37,3,3.6,1.1,0,2007
John Buck,KCR,26,399,0.308,0.429,0.738,0.322,0.207,0.09,0.231,18,48,0,3.9,1.1,0,2007
Esteban German,KCR,29,405,0.351,0.376,0.727,0.327,0.112,0.106,0.14800000000000002,4,37,11,1.1,1.1,0,2007
Ronny Paulino,PIT,26,494,0.314,0.389,0.703,0.311,0.127,0.067,0.16,11,55,2,8.3,1.1,0,2007
Gerald Laird,TEX,27,448,0.278,0.349,0.627,0.276,0.125,0.067,0.23,9,47,6,15.5,1.1,0,2007
Hank Blalock,TEX,26,232,0.358,0.543,0.901,0.383,0.25,0.091,0.16399999999999998,10,33,4,-6.0,1.0,0,2007
Dmitri Young,WSN,33,508,0.378,0.491,0.869,0.375,0.172,0.087,0.146,13,74,0,-17.9,1.0,0,2007
Ty Wigginton,- - -,29,604,0.333,0.459,0.792,0.343,0.181,0.068,0.187,22,67,3,-11.9,1.0,0,2007
Brian Giles,SDP,36,552,0.361,0.416,0.777,0.343,0.145,0.11599999999999999,0.111,13,51,4,-17.6,1.0,0,2007
Jose Vidro,SEA,32,625,0.381,0.394,0.775,0.345,0.08,0.10099999999999999,0.091,6,59,0,-17.8,1.0,0,2007
Dan Johnson,OAK,27,495,0.349,0.418,0.768,0.338,0.183,0.145,0.156,18,62,0,-8.7,1.0,0,2007
Gregg Zaun,TOR,36,391,0.341,0.411,0.752,0.325,0.169,0.13,0.141,10,52,0,4.1,1.0,0,2007
Shannon Stewart,OAK,33,630,0.345,0.394,0.739,0.329,0.104,0.075,0.095,12,48,11,-11.5,1.0,0,2007
Bengie Molina,SFG,32,517,0.298,0.433,0.731,0.315,0.157,0.028999999999999998,0.10300000000000001,19,81,0,9.5,1.0,0,2007
Ramon Hernandez,BAL,31,409,0.333,0.382,0.714,0.318,0.124,0.08800000000000001,0.14400000000000002,9,62,1,4.3,1.0,0,2007
John McDonald,TOR,32,353,0.279,0.333,0.612,0.271,0.083,0.031,0.136,1,31,7,13.8,1.0,0,2007
Raul Ibanez,SEA,35,636,0.351,0.48,0.831,0.357,0.188,0.083,0.153,21,105,0,-27.4,0.9,0,2007
Eric Chavez,OAK,29,379,0.306,0.446,0.752,0.323,0.205,0.09,0.201,15,46,4,-0.1,0.9,0,2007
Willy Taveras,COL,25,408,0.367,0.382,0.748,0.337,0.062,0.051,0.135,2,24,33,-4.8,0.9,0,2007
Rajai Davis,- - -,26,219,0.361,0.374,0.735,0.331,0.095,0.096,0.128,1,9,22,0.8,0.9,0,2007
Ryan Theriot,CHC,27,597,0.326,0.346,0.672,0.302,0.08,0.08199999999999999,0.084,3,45,28,8.5,0.9,0,2007
Matt Murton,CHC,25,261,0.352,0.438,0.791,0.349,0.157,0.1,0.149,8,22,1,-1.8,0.8,0,2007
Brad Wilkerson,TEX,30,389,0.319,0.467,0.786,0.339,0.234,0.111,0.275,20,62,4,-7.5,0.8,0,2007
Frank Catalanotto,TEX,33,377,0.337,0.444,0.781,0.343,0.184,0.07400000000000001,0.098,11,44,2,-5.5,0.8,0,2007
Greg Dobbs,PHI,28,358,0.33,0.451,0.78,0.334,0.179,0.081,0.187,10,55,3,-2.6,0.8,0,2007
Aubrey Huff,BAL,30,603,0.337,0.442,0.778,0.339,0.162,0.08,0.14400000000000002,15,72,1,-15.9,0.8,0,2007
Gabe Gross,MIL,27,210,0.329,0.437,0.766,0.332,0.202,0.11900000000000001,0.17600000000000002,7,24,3,-0.1,0.8,0,2007
Chris Young,ARI,23,624,0.295,0.467,0.763,0.326,0.23,0.069,0.226,32,68,27,-6.0,0.8,0,2007
Ryan Klesko,SFG,36,411,0.344,0.401,0.744,0.33,0.141,0.11199999999999999,0.165,6,44,5,-1.7,0.8,0,2007
Jacque Jones,CHC,32,495,0.335,0.4,0.735,0.321,0.115,0.069,0.141,5,66,6,6.0,0.8,0,2007
Mark Loretta,HOU,35,511,0.352,0.372,0.724,0.326,0.085,0.086,0.08,4,41,1,1.5,0.8,0,2007
Rob Mackowiak,- - -,31,329,0.337,0.386,0.723,0.322,0.123,0.079,0.21600000000000003,6,38,4,-2.5,0.8,0,2007
A.J. Pierzynski,CHW,30,509,0.309,0.403,0.712,0.309,0.14,0.049,0.13,14,50,1,9.1,0.8,0,2007
Tony Graffanino,MIL,35,260,0.315,0.39,0.705,0.304,0.152,0.092,0.16899999999999998,9,30,0,7.6,0.8,0,2007
Jose Cruz,SDP,33,293,0.316,0.375,0.691,0.307,0.141,0.106,0.222,6,21,6,2.0,0.8,0,2007
Jerry Owens,CHW,26,389,0.324,0.312,0.636,0.291,0.045,0.069,0.162,1,17,32,4.5,0.8,0,2007
Chad Tracy,ARI,27,260,0.346,0.454,0.8,0.343,0.189,0.11199999999999999,0.165,7,35,0,1.7,0.7,0,2007
Cliff Floyd,CHC,34,322,0.373,0.422,0.795,0.35,0.138,0.109,0.146,9,45,0,-3.7,0.7,0,2007
Jason Giambi,NYY,36,303,0.356,0.433,0.79,0.349,0.197,0.132,0.218,14,39,1,-5.8,0.7,0,2007
Wilson Betemit,- - -,25,284,0.333,0.454,0.787,0.343,0.225,0.134,0.289,14,50,0,-4.6,0.7,0,2007
Ruben Gotay,NYM,24,211,0.351,0.421,0.772,0.34,0.126,0.076,0.19899999999999998,4,24,3,-0.8,0.7,0,2007
Jose Bautista,PIT,26,614,0.339,0.414,0.753,0.332,0.16,0.111,0.16399999999999998,15,63,6,-6.3,0.7,0,2007
David Eckstein,STL,32,484,0.356,0.382,0.739,0.33,0.074,0.05,0.045,3,31,10,-5.0,0.7,0,2007
